run,engine,backend,length,repeat,phase,ttft_ms,e2e_ms,cache_source,cached_tokens,orbitkv_load_bytes,orbitkv_load_ms,matches_cold_output
vllm-cpu,vllm,cpu,1024,1,after_pressure,21.8915194272995,112.56362497806549,external,1024,0,0,False
vllm-cpu,vllm,cpu,1024,2,cold,117.51986667513847,208.6232490837574,miss,0,0,0,True
vllm-cpu,vllm,cpu,1024,2,hbm_hit,18.761344254016876,109.49378460645676,mixed,1024,0,0,True
vllm-cpu,vllm,cpu,1024,2,after_pressure,21.690048277378082,112.40986362099648,external,1024,0,0,True
vllm-cpu,vllm,cpu,1024,3,cold,117.67146363854408,208.61361920833588,miss,0,0,0,True
vllm-cpu,vllm,cpu,1024,3,hbm_hit,19.01857554912567,109.81222242116928,mixed,1024,0,0,False
vllm-cpu,vllm,cpu,1024,3,after_pressure,21.875854581594467,112.49647289514542,external,1024,0,0,False
vllm-cpu,vllm,cpu,1024,4,cold,117.79309809207916,208.66792649030685,miss,0,0,0,True
vllm-cpu,vllm,cpu,1024,4,hbm_hit,19.01497319340706,109.68499630689621,mixed,1024,0,0,True
vllm-cpu,vllm,cpu,1024,4,after_pressure,21.719712764024734,112.38409951329231,external,1024,0,0,True
vllm-cpu,vllm,cpu,4096,0,cold,475.35014152526855,570.3941769897938,miss,0,0,0,True
vllm-cpu,vllm,cpu,4096,0,hbm_hit,21.100066602230072,113.79754170775414,mixed,4096,0,0,True
vllm-cpu,vllm,cpu,4096,0,after_pressure,32.29966014623642,125.00696256756783,external,4096,0,0,True
vllm-cpu,vllm,cpu,4096,1,cold,475.3367267549038,570.3893676400185,miss,0,0,0,True
vllm-cpu,vllm,cpu,4096,1,hbm_hit,21.27021551132202,113.87520655989647,mixed,4096,0,0,True
vllm-cpu,vllm,cpu,4096,1,after_pressure,32.30668976902962,124.77581575512886,external,4096,0,0,True
vllm-cpu,vllm,cpu,4096,2,cold,475.526824593544,570.271834731102,miss,0,0,0,True
vllm-cpu,vllm,cpu,4096,2,hbm_hit,21.336976438760757,113.93779143691063,mixed,4096,0,0,True
vllm-cpu,vllm,cpu,4096,2,after_pressure,32.65843540430069,125.26275590062141,external,4096,0,0,True
vllm-cpu,vllm,cpu,4096,3,cold,475.41922703385353,570.6132128834724,miss,0,0,0,True
vllm-cpu,vllm,cpu,4096,3,hbm_hit,21.109864115715027,113.97155746817589,mixed,4096,0,0,True
vllm-cpu,vllm,cpu,4096,3,after_pressure,32.3035791516304,124.8890720307827,external,4096,0,0,True
vllm-cpu,vllm,cpu,4096,4,cold,475.3064289689064,570.306621491909,miss,0,0,0,True
vllm-cpu,vllm,cpu,4096,4,hbm_hit,21.29065990447998,114.02471736073494,mixed,4096,0,0,True
vllm-cpu,vllm,cpu,4096,4,after_pressure,32.06462040543556,124.70247596502304,external,4096,0,0,True
vllm-cpu,vllm,cpu,8192,0,cold,1005.8327727019787,1117.3691973090172,miss,0,0,0,True
vllm-cpu,vllm,cpu,8192,0,hbm_hit,24.390678852796555,121.42902240157127,mixed,8192,0,0,True
vllm-cpu,vllm,cpu,8192,0,after_pressure,47.06490412354469,144.05977353453636,external,8192,0,0,True
vllm-cpu,vllm,cpu,8192,1,cold,1005.9368908405304,1117.1788536012173,miss,0,0,0,True
vllm-cpu,vllm,cpu,8192,1,hbm_hit,24.616070091724396,121.58018350601196,mixed,8192,0,0,True
