engine,concurrency,pattern,repeat,phase,wall_seconds,sampled_peak_pool_bytes,sampled_peak_query_bytes,query_reserved_bytes_after,query_budget_waits_total,query_budget_bypasses_total,query_coalesced_reads_total,load_bytes_total,ssd_prefetch_bytes_total,save_bytes_total,ssd_write_bytes_total,ssd_prefetch_failures_total,ssd_write_failures_total,load_duration_seconds_sum,ssd_prefetch_duration_seconds_sum,evicted_blocks,still_referenced_blocks
vllm,4,mixed,1,after_host_eviction,0.570907399058342,2566914048.0,1811939328.0,0.0,39.0,0,0,2566914048.0,2566914048.0,0,0,0,0,0.08514857600000003,0.6241927239999998,1264,0
vllm,4,mixed,2,cold,2.777784828096628,5737807872.0,1207959552.0,0.0,0,0,0,0,0,3170893824.0,3170893824.0,0,0,0,0,,
vllm,4,mixed,2,after_pressure,0.32277413830161095,9361686528.0,1962934272.0,0.0,22.0,0,0,3170893824.0,0,0,0,0,0,0.08878602000000002,0,,
vllm,4,mixed,2,after_host_eviction,0.6454910263419151,3170893824.0,1962934272.0,0.0,142.0,0,0,3170893824.0,3170893824.0,0,0,0,0,0.10177422600000008,1.0127644559999998,1376,0
vllm,8,shared,0,cold,0.29679232835769653,3321888768.0,0.0,0.0,0,0,0,0,0,150994944.0,150994944.0,0,0,0,0,,
vllm,8,shared,0,after_pressure,0.1882929392158985,6945767424.0,1056964608.0,0.0,0,0,0,1207959552.0,0,0,0,0,0,0.03506274099999995,0,,
vllm,8,shared,0,after_host_eviction,0.21389567852020264,150994944.0,1207959552.0,0.0,0,0,7.0,1207959552.0,150994944.0,0,0,0,0,0.0402324839999999,0.022529926999999894,1120,0
vllm,8,shared,1,cold,0.6965471021831036,754974720.0,0.0,0.0,0,0,0,0,0,603979776.0,603979776.0,0,0,0,0,,
vllm,8,shared,1,after_pressure,0.24922224879264832,4378853376.0,1811939328.0,0.0,40.0,0,0,1859125248.0,0,0,0,0,0,0.05355791200000004,0,,
vllm,8,shared,1,after_host_eviction,0.3584699220955372,603979776.0,1811939328.0,0.0,395.0,0,2.0,1859125248.0,603979776.0,0,0,0,0,0.05559631999999981,0.0977899390000001,848,0
vllm,8,shared,2,cold,1.283205647021532,1811939328.0,0.0,0.0,0,0,0,0,0,1207959552.0,1207959552.0,0,0,0,0,,
vllm,8,shared,2,after_pressure,0.2999350242316723,5435817984.0,1207959552.0,0.0,119.0,0,0,1274019840.0,0,0,0,0,0,0.03669811799999989,0,,
vllm,8,shared,2,after_host_eviction,0.5016173906624317,1207959552.0,1207959552.0,0.0,809.0,0,0,1274019840.0,1207959552.0,0,0,0,0,0.03893779300000011,0.20085411599999992,960,0
vllm,8,mixed,0,cold,4.023188848048449,5888802816.0,1207959552.0,0.0,0,0,0,0,0,4680843264.0,4680843264.0,0,0,0,0,,
vllm,8,mixed,0,after_pressure,0.56489272788167,9512681472.0,1962934272.0,0.0,32.0,0,0,4680843264.0,0,0,0,0,0,0.14333901800000004,0,,
vllm,8,mixed,0,after_host_eviction,0.9027610905468464,4680843264.0,2113929216.0,0.0,283.0,0,0,4680843264.0,4680843264.0,0,0,0,0,0.15346400900000012,1.689055650999999,1392,0
vllm,8,mixed,1,cold,4.896651156246662,10418651136.0,1207959552.0,0.0,0,0,0,0,0,5737807872.0,5737807872.0,0,0,0,0,,
vllm,8,mixed,1,after_pressure,0.5917940251529217,14042529792.0,2113929216.0,0.0,67.0,0,0,5737807872.0,0,0,0,0,0,0.17419231699999993,0,,
vllm,8,mixed,1,after_host_eviction,1.1384599320590496,5737807872.0,2113929216.0,0.0,529.0,0,0,5737807872.0,5737807872.0,0,0,0,0,0.18364311700000036,1.6187311730000005,1360,0
vllm,8,mixed,2,cold,4.603157743811607,11022630912.0,1207959552.0,0.0,0,0,0,0,0,5284823040.0,5284823040.0,0,0,0,0,,
vllm,8,mixed,2,after_pressure,0.5583732463419437,14646509568.0,2113929216.0,0.0,83.0,0,0,5284823040.0,0,0,0,0,0,0.16014102900000027,0,,
vllm,8,mixed,2,after_host_eviction,0.9892331473529339,5284823040.0,2113929216.0,0.0,567.0,0,0,5284823040.0,5284823040.0,0,0,0,0,0.17153774400000055,2.2025680719999983,1424,0
sglang,1,shared,0,cold,0.21276357397437096,264241152.0,0.0,0.0,0,0,0,0,0,150994944.0,150994944.0,0,0,0,0,,
sglang,1,shared,0,after_pressure,0.1272146962583065,3888119808.0,0.0,0.0,0,0,0,141557760.0,0,0,0,0,0,0.002961234,0,,
sglang,1,shared,0,after_host_eviction,0.14759983494877815,150994944.0,141557760.0,0.0,0,0,0,141557760.0,141557760.0,9437184.0,0,0,0,0.006173036,0.022664445,796,0
sglang,1,shared,1,cold,0.5663841180503368,754974720.0,0.0,0.0,0,0,0,0,0,603979776.0,603979776.0,0,0,0,0,,
sglang,1,shared,1,after_pressure,0.13521454483270645,4378853376.0,0.0,0.0,0,0,0,594542592.0,0,0,0,0,0,0.012734491,0,,
sglang,1,shared,1,after_host_eviction,0.253614217042923,603979776.0,594542592.0,0.0,0,0,0,594542592.0,594542592.0,9437184.0,0,0,0,0.025647795,0.106351641,848,0
sglang,1,shared,2,cold,1.1002452485263348,1811939328.0,0.0,0.0,0,0,0,0,0,1207959552.0,1207959552.0,0,0,0,0,,
sglang,1,shared,2,after_pressure,0.15443537756800652,5435817984.0,1198522368.0,0.0,0,0,0,1198522368.0,0,0,0,0,0,0.024889709999999995,0,,
sglang,1,shared,2,after_host_eviction,0.38081610575318336,1207959552.0,1198522368.0,0.0,0,0,0,1198522368.0,1198522368.0,9437184.0,0,0,0,0.051624109,0.199619262,960,0
sglang,1,mixed,0,cold,0.2066190168261528,1358954496.0,141557760.0,0.0,0,0,0,0,0,150994944.0,150994944.0,0,0,0,0,,
sglang,1,mixed,0,after_pressure,0.12183626368641853,4982833152.0,141557760.0,0.0,0,0,0,141557760.0,0,0,0,0,0,0.0028792109999999926,0,,
sglang,1,mixed,0,after_host_eviction,0.15612893551588058,150994944.0,141557760.0,0.0,0,0,0,141557760.0,141557760.0,9437184.0,0,0,0,0.006186641999999992,0.030351454,912,0
sglang,1,mixed,1,cold,0.5656291134655476,754974720.0,0.0,0.0,0,0,0,0,0,603979776.0,603979776.0,0,0,0,0,,
sglang,1,mixed,1,after_pressure,0.13385138288140297,4378853376.0,0.0,0.0,0,0,0,594542592.0,0,0,670040064.0,0,0,0.011920696000000008,0,,
