run,engine,backend,queue_warmup,concurrency,n,reuse_requests,cold_requests,stop_reason,wall_seconds,drain_seconds,working_set_tokens,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,requests_per_second,output_tokens_per_second,e2e_p50_ms,decode_ms_per_token_p50,output_mismatches,cache_sources,sampled_peak_pool_bytes,sampled_peak_query_bytes,sampled_peak_warmup_bytes,sampled_peak_warmup_pending_bytes,warmup_pending_bytes_before,warmup_pending_bytes_after,orbitkv_ssd_prefetch_bytes_total,orbitkv_ssd_write_bytes_total,orbitkv_load_bytes_total,orbitkv_save_bytes_total,orbitkv_query_budget_waits_total,orbitkv_query_budget_bypasses_total,orbitkv_query_coalesced_reads_total,orbitkv_warmup_prepared_bytes_total,orbitkv_warmup_restored_bytes_total,orbitkv_warmup_unused_bytes_total,orbitkv_warmup_foreground_skips_total,orbitkv_warmup_wait_byte_seconds_total_restored,orbitkv_warmup_wait_byte_seconds_total_unused,orbitkv_load_duration_seconds_sum,orbitkv_load_duration_seconds_count,orbitkv_save_duration_seconds_sum,orbitkv_save_duration_seconds_count
/workspace/orbitkv/benches/results/runs/warmup-accounting-vllm-off,vllm,orbitkv,off,8,126,96,30,duration,31.98650001361966,1.4099538587033749,49152,2013.1286438554525,3114.2716389149427,3128.683432005346,3.939161832221404,63.026589315542466,2109.389616176486,6.146644552548727,0,"{""cached_tier_unknown"": 87, ""miss"": 39}",4237295616.0,3057647616.0,0,0,0,0,29604446208.0,23366467584.0,44213207040.0,23574085632.0,1205.0,0,3.0,0,0,0,0,0,0,1.3332691129999998,85.0,0.778147014,78.0
/workspace/orbitkv/benches/results/runs/warmup-accounting-vllm-on,vllm,orbitkv,on,8,126,96,30,duration,32.17358709871769,1.410146962851286,49152,2024.4838297367096,3115.8416252583265,3261.665460653603,3.9162558906905924,62.66009425104948,2121.5465124696493,6.148529052734375,0,"{""cached_tier_unknown"": 87, ""miss"": 39}",4237295616.0,3057647616.0,603979776.0,603979776.0,0,0.0,29604446208.0,22988980224.0,44807749632.0,23574085632.0,1197.0,0,4.0,603979776.0,603979776.0,0,119.0,26350524.558213122,0,1.3521345220000003,85.0,0.7834487260000002,78.0
/workspace/orbitkv/benches/results/runs/warmup-accounting-sglang-off,sglang,orbitkv,off,8,116,88,28,duration,31.329089894890785,1.4099301099777222,49152,2072.7722700685263,3278.097658418119,3624.676497094333,3.7026291025108113,59.24206564017298,2166.968274861574,6.1131007969379425,9,"{""cached_tier_unknown"": 79, ""miss"": 37}",4294967296.0,2972712960.0,0,0,0,0,24970788864.0,22347251712.0,38050725888.0,22819110912.0,23.0,0,5.0,0,0,0,0,0,0,1.553767494,64.0,0.8033767539999997,161.0
/workspace/orbitkv/benches/results/runs/warmup-accounting-sglang-on,sglang,orbitkv,on,8,116,88,28,duration,31.025184985250235,1.4119229316711426,49152,2070.6595070660114,3250.1157307997346,3589.5798502489924,3.7388979326037175,59.82236692165948,2162.5701878219843,6.135034933686256,9,"{""cached_tier_unknown"": 79, ""miss"": 37}",4294967296.0,2972712960.0,594542592.0,594542592.0,0,0.0,35078012928.0,22347251712.0,38050725888.0,22809673728.0,23.0,0,7.0,8323596288.0,594542592.0,7729053696.0,61.0,43111527.26114304,3411880229.0088334,1.5833641229999997,64.0,0.8145263889999996,160.0
