run,engine,backend,concurrency,pattern,phase,n,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,requests_per_second,output_tokens_per_second,e2e_p50_ms,decode_ms_per_token_p50,output_mismatches,cache_sources,sampled_peak_pool_bytes,sampled_peak_query_bytes,orbitkv_ssd_prefetch_bytes_total,orbitkv_load_bytes_total,orbitkv_query_budget_waits_total,orbitkv_query_budget_bypasses_total,orbitkv_query_coalesced_reads_total
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,8,mixed,cold,24,2364.824676886201,4738.384046591817,4785.4500149562955,1.7747544181437218,28.39607069029955,3225.3367118537426,7.180015742778778,0,"{""cached_tier_unknown"": 0, ""miss"": 24}",11022630912.0,1207959552.0,0,0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,8,mixed,after_pressure,24,229.0067058056593,483.5351567715406,487.3332008719444,13.993679526503191,223.89887242405106,339.3280655145645,6.80778572956721,0,"{""cached_tier_unknown"": 24, ""miss"": 0}",14646509568.0,2113929216.0,0,15703474176.0,182.0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-vllm,vllm,orbitkv,8,mixed,after_host_eviction,24,383.10541957616806,879.1252536699175,1000.5575999990106,7.919605001096602,126.71368001754563,481.4306478947401,6.486640125513077,0,"{""cached_tier_unknown"": 24, ""miss"": 0}",5737807872.0,2113929216.0,15703474176.0,15703474176.0,1379.0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,1,shared,cold,3,473.9897549152374,949.4920875877142,991.7589616030455,1.5962601195683925,25.54016191309428,565.5814968049526,6.106116125981013,0,"{""cached_tier_unknown"": 0, ""miss"": 3}",1811939328.0,0.0,0,0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,1,shared,after_pressure,3,43.416425585746765,55.23207262158394,56.2823523581028,7.196581013880418,115.14529622208669,134.44074243307114,6.068287789821625,0,"{""cached_tier_unknown"": 3, ""miss"": 0}",5435817984.0,1198522368.0,0,1934622720.0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,1,shared,after_host_eviction,3,162.39169239997864,271.60248942673206,281.31011582911015,3.836169194102443,61.37870710563909,252.8051659464836,6.027564903100331,0,"{""cached_tier_unknown"": 3, ""miss"": 0}",1207959552.0,1198522368.0,1934622720.0,1934622720.0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,1,mixed,cold,3,473.3911454677582,948.7509120255709,991.0051134973764,1.6030058991325045,25.64809438612007,564.8836456239223,6.099500010410945,0,"{""cached_tier_unknown"": 0, ""miss"": 3}",1811939328.0,141557760.0,0,0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,1,mixed,after_pressure,3,41.952162981033325,54.15681079030037,55.24166837334633,7.33485713413413,117.35771414614608,133.08966904878616,6.075833737850189,0,"{""cached_tier_unknown"": 3, ""miss"": 0}",5435817984.0,141557760.0,0,1934622720.0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,1,mixed,after_host_eviction,3,170.17681896686554,271.8711778521538,280.91067641973495,3.751875109735539,60.03000175576862,261.4714279770851,6.086307267347972,0,"{""cached_tier_unknown"": 3, ""miss"": 0}",1207959552.0,1198522368.0,1934622720.0,1934622720.0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,4,shared,cold,12,1147.8145699948072,1464.2039876431227,1523.330272063613,3.4676871432744774,55.48299429239164,1270.5278545618057,7.083035881320636,0,"{""cached_tier_unknown"": 4, ""miss"": 8}",1811939328.0,0.0,0,0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,4,shared,after_pressure,12,78.54770496487617,99.53593574464321,100.26956669986248,18.994275970542805,303.9084155286849,203.52492667734623,8.331814780831337,0,"{""cached_tier_unknown"": 12, ""miss"": 0}",5435817984.0,1198522368.0,0,1934622720.0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,4,shared,after_host_eviction,12,164.7398080676794,306.9674218073487,307.12958563119173,13.023949111225603,208.38318577960965,287.99891471862793,8.226109792788822,0,"{""cached_tier_unknown"": 12, ""miss"": 0}",1207959552.0,1783627776.0,1934622720.0,1934622720.0,714.0,0,5.0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,4,mixed,cold,12,1622.8984482586384,2383.4826214238997,2623.841956518591,1.7610614636731101,28.176983418769762,1741.1893121898174,7.518012573321661,0,"{""cached_tier_unknown"": 0, ""miss"": 12}",5737807872.0,1198522368.0,0,0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,4,mixed,after_pressure,12,109.76476594805717,272.0022164285183,272.2774587571621,12.439575533156447,199.03320853050315,230.24838790297508,7.114480684200922,0,"{""cached_tier_unknown"": 12, ""miss"": 0}",9361686528.0,1793064960.0,0,7738490880.0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,4,mixed,after_host_eviction,12,381.4556021243334,538.6740183457731,588.343350403011,6.676785455514355,106.82856728822968,496.8936759978533,7.7983445177475605,0,"{""cached_tier_unknown"": 12, ""miss"": 0}",3170893824.0,2076180480.0,7559184384.0,7559184384.0,354.0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,8,shared,cold,24,1188.3460097014904,1452.2777125239372,1452.7923411503434,5.847802455758614,93.56483929213782,1377.1047219634056,9.904682636260986,0,"{""cached_tier_unknown"": 12, ""miss"": 12}",3321888768.0,1198522368.0,0,0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,8,shared,after_pressure,24,118.77797171473503,147.94428776949644,148.67225099354982,29.052331541427797,464.83730466284476,263.54589127004147,9.632224092880884,0,"{""cached_tier_unknown"": 24, ""miss"": 0}",6945767424.0,1198522368.0,0,1934622720.0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,8,shared,after_host_eviction,24,214.26681987941265,349.7278891503811,351.3647488132119,21.148441653270226,338.3750664523236,362.1165342628956,10.01565915842851,3,"{""cached_tier_unknown"": 24, ""miss"": 0}",1207959552.0,1783627776.0,1934622720.0,1934622720.0,962.0,0,9.0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,8,mixed,cold,24,3245.892606675625,4750.855727121233,4812.440835796297,1.776696684399675,28.4271469503948,3357.8598964959383,7.484485333164534,0,"{""cached_tier_unknown"": 0, ""miss"": 24}",11022630912.0,594542592.0,0,0,0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,8,mixed,after_pressure,24,322.6231709122658,509.525940567255,512.4098685383797,13.239965428804972,211.83944686087955,428.37050557136536,7.614333306749662,0,"{""cached_tier_unknown"": 24, ""miss"": 0}",14646509568.0,2076180480.0,0,15476981760.0,10.0,0,0
/workspace/orbitkv/benches/results/runs/query-budgets-sglang,sglang,orbitkv,8,mixed,after_host_eviction,24,398.28204549849033,1004.1122687980529,1103.1967050209641,7.396725938358295,118.34761501373272,591.2157259881496,8.888708924253782,0,"{""cached_tier_unknown"": 21, ""miss"": 3}",5737807872.0,2076180480.0,15052308480.0,15052308480.0,1062.0,0,0
