engine,backend,length,repeat,phase,ttft_ms,e2e_ms,cache_source,cached_tokens,orbitkv_load_bytes,orbitkv_load_ms,matches_cold_output
vllm,cpu,4096,3,cold,475.90798139572144,570.0824372470379,miss,0,0,0,True
vllm,cpu,4096,3,hbm_hit,21.766256541013718,113.66047337651253,mixed,4096,0,0,True
vllm,cpu,4096,3,after_pressure,32.63914957642555,124.50497969985008,external,4096,0,0,True
vllm,cpu,4096,4,cold,476.0306254029274,570.2159032225609,miss,0,0,0,True
vllm,cpu,4096,4,hbm_hit,21.85528725385666,113.63071575760841,mixed,4096,0,0,True
vllm,cpu,4096,4,after_pressure,32.72837772965431,124.6168501675129,external,4096,0,0,True
vllm,cpu,8192,0,cold,1006.233636289835,1117.0543767511845,miss,0,0,0,True
vllm,cpu,8192,0,hbm_hit,24.928394705057144,121.17261812090874,mixed,8192,0,0,True
vllm,cpu,8192,0,after_pressure,48.049960285425186,144.11889016628265,external,8192,0,0,True
vllm,cpu,8192,1,cold,1006.4734295010567,1117.1973161399364,miss,0,0,0,True
vllm,cpu,8192,1,hbm_hit,24.976078420877457,120.9510900080204,mixed,8192,0,0,True
vllm,cpu,8192,1,after_pressure,47.70440608263016,143.89968290925026,external,8192,0,0,True
vllm,cpu,8192,2,cold,1006.3821375370026,1117.890626192093,miss,0,0,0,True
vllm,cpu,8192,2,hbm_hit,24.50796589255333,121.15788832306862,mixed,8192,0,0,True
vllm,cpu,8192,2,after_pressure,47.81069606542587,143.81539449095726,external,8192,0,0,True
vllm,cpu,8192,3,cold,1006.2648393213749,1117.3612922430038,miss,0,0,0,True
vllm,cpu,8192,3,hbm_hit,24.897806346416473,121.20671197772026,mixed,8192,0,0,True
vllm,cpu,8192,3,after_pressure,48.07515814900398,144.21747997403145,external,8192,0,0,True
vllm,cpu,8192,4,cold,1008.880015462637,1117.3505447804928,miss,0,0,0,True
vllm,cpu,8192,4,hbm_hit,24.715986102819443,120.95276266336441,mixed,8192,0,0,True
vllm,cpu,8192,4,after_pressure,47.36686125397682,143.53913813829422,external,8192,0,0,True
vllm,orbitkv,1024,0,cold,119.2702129483223,210.33573895692825,miss,0,0,0,True
vllm,orbitkv,1024,0,hbm_hit,21.430153399705887,112.14375123381615,mixed,1023,9437184.0,0.38126000000000004,True
vllm,orbitkv,1024,0,after_pressure,24.348832666873932,115.10122194886208,external,1023,150994944.0,4.707615,True
vllm,orbitkv,1024,1,cold,118.44881251454353,209.59609374403954,miss,0,0,0,True
vllm,orbitkv,1024,1,hbm_hit,19.903328269720078,110.52410677075386,mixed,1023,9437184.0,0.3506730000000001,False
vllm,orbitkv,1024,1,after_pressure,24.158451706171036,114.90407958626747,external,1023,150994944.0,4.6686749999999995,False
vllm,orbitkv,1024,2,cold,118.32080408930779,209.47081595659256,miss,0,0,0,True
vllm,orbitkv,1024,2,hbm_hit,20.104385912418365,110.76761782169342,mixed,1023,9437184.0,0.3481100000000004,True
vllm,orbitkv,1024,2,after_pressure,24.121958762407303,115.05722627043724,external,1023,150994944.0,4.639756,True
vllm,orbitkv,1024,3,cold,118.72061714529991,209.5789648592472,miss,0,0,0,True
vllm,orbitkv,1024,3,hbm_hit,20.14186605811119,110.86345463991165,mixed,1023,9437184.0,0.35300100000000034,False
vllm,orbitkv,1024,3,after_pressure,24.14485812187195,114.73541706800461,external,1023,150994944.0,4.684345000000001,False
vllm,orbitkv,1024,4,cold,118.71328204870224,209.65392887592316,miss,0,0,0,True
vllm,orbitkv,1024,4,hbm_hit,20.02287656068802,110.68844795227051,mixed,1023,9437184.0,0.3436160000000015,True
vllm,orbitkv,1024,4,after_pressure,26.05423703789711,116.32441729307175,external,1023,150994944.0,4.621827000000002,True
vllm,orbitkv,4096,0,cold,476.651594042778,569.5179179310799,miss,0,0,0,True
vllm,orbitkv,4096,0,hbm_hit,22.272568196058273,115.13825505971909,mixed,4095,9437184.0,0.343744,True
vllm,orbitkv,4096,0,after_pressure,33.573564141988754,126.46140530705452,external,4095,603979776.0,12.196021000000002,True
vllm,orbitkv,4096,1,cold,476.4161817729473,569.474071264267,miss,0,0,0,True
vllm,orbitkv,4096,1,hbm_hit,22.3422572016716,115.09983241558075,mixed,4095,9437184.0,0.34709599999999813,True
vllm,orbitkv,4096,1,after_pressure,38.62398490309715,131.44827634096146,external,4095,603979776.0,16.968902,True
vllm,orbitkv,4096,2,cold,476.19544342160225,569.1369846463203,miss,0,0,0,True
vllm,orbitkv,4096,2,hbm_hit,22.445719689130783,115.28677120804787,mixed,4095,9437184.0,0.3523699999999977,True
vllm,orbitkv,4096,2,after_pressure,33.946990966796875,126.7412081360817,external,4095,603979776.0,12.282385999999992,True
vllm,orbitkv,4096,3,cold,476.4121472835541,569.3048015236855,miss,0,0,0,True
